DATASET_ID,COMMENT,FIELD,FORMAT,LINK,MIME_TYPE,TITLE
1,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=6ba342eddd38481d9d24e1b51d71bdb5,,Placer Grouping - 50k
1,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Placer_Grouping_50k/,,Placer Grouping - 50k
1,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/6ba342eddd38481d9d24e1b51d71bdb5/info/metadata/metadata.xml?format=default&amp;output=html,,Placer Grouping - 50k
2,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=79be9778cc0c43a4a0702db11dc7b8b9,,Quartz Grouping - 50k
2,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Quartz_Grouping_50k/,,Quartz Grouping - 50k
2,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/79be9778cc0c43a4a0702db11dc7b8b9/info/metadata/metadata.xml?format=default&amp;output=html,,Quartz Grouping - 50k
3,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=38bc07bba2114236bb20c0e4178752c8,,Fire Regions
3,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Fire_Regions/,,Fire Regions
3,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/38bc07bba2114236bb20c0e4178752c8/info/metadata/metadata.xml?format=default&amp;output=html,,Fire Regions
4,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=340b32e7791b4db6b19519a7f916600b,,First Nation Traditional Territories Core Area
4,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/First_Nations/First_Nation_Traditional_Territories_Core_Area/,,First Nation Traditional Territories Core Area
4,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/340b32e7791b4db6b19519a7f916600b/info/metadata/metadata.xml?format=default&amp;output=html,,First Nation Traditional Territories Core Area
5,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=38c054b836ec4df4adb6d69e30aa90d9,,Mining districts - 50k
5,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Mining_Districts_50k/,,Mining districts - 50k
5,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/38c054b836ec4df4adb6d69e30aa90d9/info/metadata/metadata.xml?format=default&amp;output=html,,Mining districts - 50k
6,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=7bbcd017ffdc45b194ec4bb491aa95aa,,Mining districts - 1M
6,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Mining_Districts_1M/,,Mining districts - 1M
6,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/7bbcd017ffdc45b194ec4bb491aa95aa/info/metadata/metadata.xml?format=default&amp;output=html,,Mining districts - 1M
7,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=2e25caf0eee54fa1b28ba5453cd7bc89,,Natural Resource Officer Districts - 1M
7,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Natural_Resource_Officer_Districts_1M/,,Natural Resource Officer Districts - 1M
7,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/2e25caf0eee54fa1b28ba5453cd7bc89/info/metadata/metadata.xml?format=default&amp;output=html,,Natural Resource Officer Districts - 1M
8,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=c6e08b7c4a8243aaabbc8b4e38e5c9ff,,Natural Resource Officer Subdistricts - 1M
8,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Natural_Resource_Officer_Subdistricts_1M/,,Natural Resource Officer Subdistricts - 1M
8,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/c6e08b7c4a8243aaabbc8b4e38e5c9ff/info/metadata/metadata.xml?format=default&amp;output=html,,Natural Resource Officer Subdistricts - 1M
9,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=ef08a0acd77d4e5a9eaa2ff0703697c9,,Whitehorse Contours - 10k
9,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Elevation/Whitehorse_Contours_10k/,,Whitehorse Contours - 10k
9,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/ef08a0acd77d4e5a9eaa2ff0703697c9/info/metadata/metadata.xml?format=default&amp;output=html,,Whitehorse Contours - 10k
10,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=248864234af54b4e80e4979ab500f85b,,YESAA Mapped Communities - 50k
10,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/YESAA_Mapped_Communities_50k/,,YESAA Mapped Communities - 50k
10,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/248864234af54b4e80e4979ab500f85b/info/metadata/metadata.xml?format=default&amp;output=html,,YESAA Mapped Communities - 50k
11,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=ee272fcb3bcd4c65bd2f572c6d95e98a,,Yukon Electoral Districts 2015
11,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Yukon_Electoral_Districts_2015/,,Yukon Electoral Districts 2015
11,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/ee272fcb3bcd4c65bd2f572c6d95e98a/info/metadata/metadata.xml?format=default&amp;output=html,,Yukon Electoral Districts 2015
12,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=6d27e9facf7843e1a7b51241832dede9,,Parks and Protected Areas Line - Surveyed
12,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Parks_and_Protected_Areas/Parks_and_Protected_Areas_Line_Surveyed/,,Parks and Protected Areas Line - Surveyed
12,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/6d27e9facf7843e1a7b51241832dede9/info/metadata/metadata.xml?format=default&amp;output=html,,Parks and Protected Areas Line - Surveyed
13,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=15101df562e64e279dcc7c1119c0f417,,Communities and subdivisions - surveyed
13,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Land_Tenure/Communities_and_Subdivisions_Surveyed/,,Communities and subdivisions - surveyed
13,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/15101df562e64e279dcc7c1119c0f417/info/metadata/metadata.xml?format=default&amp;output=html,,Communities and subdivisions - surveyed
14,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=2a65ccced3a2421783eeddae32b7d58b,,Yukon Borders - Surveyed
14,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Administrative_Boundaries/Yukon_Borders_Surveyed/,,Yukon Borders - Surveyed
14,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/2a65ccced3a2421783eeddae32b7d58b/info/metadata/metadata.xml?format=default&amp;output=html,,Yukon Borders - Surveyed
15,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=f5ab25ca2f3f4b958ee16a47ff006488,,Contours - 1M
15,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Elevation/Contours_1M/,,Contours - 1M
15,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/f5ab25ca2f3f4b958ee16a47ff006488/info/metadata/metadata.xml?format=default&amp;output=html,,Contours - 1M
16,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=d4de4755ca60446f8693e866c8a85a7a,,Cultural Features Line - 50k
16,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Line_50k/,,Cultural Features Line - 50k
16,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/d4de4755ca60446f8693e866c8a85a7a/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Line - 50k
