"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"information","Report ","File is .77 MB",".PDF","2011-05-16 04:05:25","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1984/of1984_2.pdf","",41992,"","","",""
"information","Report ","File is 1.22 MB",".PDF","2011-06-01 02:06:18","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yeg/yeg87.pdf","",41993,"","","",""
"information","Report ","File is 8.69 MB",".PDF","2011-06-01 10:06:55","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/yuk_plac_min_ind89_90.pdf","",41994,"","","",""
"information","Report ","File is 4.7 MB",".PDF","2011-06-01 11:06:07","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yquaternary/yuk_quat_geol96_vol1.pdf","",41995,"","","",""
"information","Report ","File is .96 MB",".PDF","2012-10-19 12:10:28","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/yplacer/history_placer.pdf","",41996,"","","",""
"information","Appendices ","","","2011-06-20 02:06:33","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin12/appendices.zip","",41998,"","","",""
"information","Package ","","","2011-06-20 02:06:33","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin12/bulletin12.pdf","",41998,"","","",""
"information","Report ","File is 2.09 MB",".PDF","2011-05-18 08:05:49","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1996/of1996_2(t).pdf","",42001,"","","",""
"information","Report ","File is 3.13 MB",".PDF","2011-05-17 01:05:48","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1993/of1993_5(t).pdf","",42002,"","","",""
"information","Report ","File is  MB",".PDF","2011-05-18 08:05:22","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1996/of1996_3(t).pdf","",42003,"","","",""
"information","Bulletin ","File is 9.97 MB",".PDF","2011-05-20 09:05:06","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin5.pdf","",42004,"","","",""
"information","Bulletin ","File is 16.03 MB",".PDF","2011-05-20 09:05:06","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/bulletin/bulletin5_colour.PDF","",42004,"","","",""
"information","Report ","File is 6 MB",".PDF","2011-05-18 02:05:00","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/MPERG/2000/2000_2.pdf","",42006,"","","",""
"information","Report ","Free","","2011-05-24 02:05:57","2011-07-21 09:07:39","","","",42007,"","","",""
"information","Map","File is 1.96 MB",".PDF","2018-08-24 09:08:13","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2000/of2000_11.pdf","",42009,"","","",""
"information","Map","File is 1.79 MB",".PDF","2011-05-17 08:05:19","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1987/of1987_1.pdf","",42010,"","","",""
"information","Map","File is 1.22 MB",".PDF","2011-05-16 04:05:21","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1984/of1984_1.pdf","",42011,"","","",""
"information","Map","File is 1.84 MB",".PDF","2011-05-16 04:05:33","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1985/of1985_2.pdf","",42012,"","","",""
"information","Map","File is 1.43 MB",".PDF","2011-05-17 01:05:49","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1993/of1993_4(g).pdf","",42013,"","","",""
"information","Map","File is  MB",".PDF","2011-05-17 02:05:11","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/openfile/1994/of1994_4(g).pdf","",42014,"","","",""
"information","Map","File is 1.64 MB",".PDF","2018-08-23 10:08:33","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1997/gm1997_7.pdf","",42016,"","","",""
