"PUBLICATION_ID","SCHEMA_TYPE","TITLE","NOTES","TOPIC","TAGS","INTERNAL_CONTACT_NAME","INTERNAL_CONTACT_EMAIL","ORGANIZATION_TITLE","CUSTODIAN","HOMEPAGE_URL","LICENSE_ID","PUBLICATION_REQUIRED_UNDER_ATIPP_ACT","PUBLICATION_TYPE_UNDER_ATIPP_ACT","METADATA_CREATED","METADATA_MODIFIED","DKAN_URI","DKAN_NODE_ID"
42100,"information","Early Jurassic porphyry(?) copper (-gold) deposits at Minto and Williams Creek, Carmacks Copper Belt, western Yukon","The Minto and Williams Creek copper (-gold) deposits in western Yukon are hosted by variably deformed Early Jurassic (198-197 Ma; U-Pb) plutonic rocks and to a lesser extent strongly metamorphosed supracrustal rocks. These rocks are pendants and schlieren within slightly younger (197 Ma; U-Pb), intermediate-composition intrusive phases of the Granite Batholith. Chalcopyrite and bornite are disseminated and also occur as stringers in these rocks. Alteration muscovite associated with late quartz-feldspar-epidote veins gives a 182 Ma Ar-Ar age. Geobarometry on postmineral intrusive phases in the area indicate that they were emplaced at a depth of >9 km. Hornblende geochemical studies of plutonic and meta-plutonic host rocks at Minto and Williams Creek indicate that they formed in a continental magmatic arc setting. Cu/Au ratios and field observations indicate that supergene mobility of copper was more extensive at Williams Creek than at Minto. Our results indicate that the two deposits represent variations on typical copper (-gold) porphyry deposits.","Science and technology","Yukon Geological Survey,Mineral Deposit","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:25","2023-12-12 10:12:34","",""
42200,"information","Yukon Exploration and Geology 2000","Yukon Exploration and Geology 2000 consists of four parts. Part 1 is a comprehensive overview of mining and exploration activity in the Yukon; Part 2 outlines the activity and organization of the Yukon Geology Program and includes an update on the Yukon Mining Incentives Program as well as announcements of the Mining Land Use Reclamation Awards and the Robert E. Leckie Awards; Part 3 contains reports describing regional mapping, and more detailed geological, geochemical, geophysical, geochronological, paleontological, paleomagnetic and placer deposit studies; and Part 4 is a collection of reports of mineral occurrences with recent exploration advances and is authored by industry and government geologists, as well as university students.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:27","2023-12-12 10:12:34","",""
42500,"information","Blende property, central Yukon","The Blende is a large epigenetic zinc-lead-silver deposit hosted by brecciated middle Proterozoic dolomite. Mineralization occurs intermittently along a zone about 6 km long and up to 200 m wide. Based on 1990 drilling, reserves are estimated at 11.4 million tonnes grading 2.2% Zn, 3.0% Pb and 50.1 g/t Ag.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:32","2023-12-12 10:12:34","",""
42600,"information","High Level Terraces Along Parts of Yukon River and Sixtymile River (115 N/9 East Half, 115 O/5, and 115 O/12), Yukon","High level terraces representing former valley bottom deposits exist along Yukon River and several of its tributaries. The terraces contain fluvial gravel deposits wich are veneered by loess. Soil development in the gravel suggest they predate the oldest Pleistocene glaciation in central Yukon..

These high terraces are given a Neogene age (Miocene-Pliocene) based on their relative heights and the ages of bedrock that they occur on. They may be the same age as White Channel gravel in Klondike area.

Along Yukon River their elevation varies from 43 to 88 m (140 ft to 290 ft) above present river level rising to the north. Flow directions based on imbrication measurements in pits indicate flow generally followed that of the modern Yukon River. The paleo-Yukon River flowed to the nroth when these gravels were laid down.

The reason why terrace elevations rise in elevation northward, opposite to the present drainage is presumed to be from tectonic warping. The area around Dawson was uplifted more than that near the mouth of Stewart River.

Placer gold was recovered in small quantities from test pits at several sites along the Yukon River and Sixtymile River valley. The gold is typically flat, fine grained and far-traveled; suggestive of deposition in a bar environment. The number of gold particles in gravel samples (each sample 23 litre volume) ranged from 0 to 1 in Sixtymile River valley and 0 to 12 in Yukon River valley terraces.  Downcutting of Yukon River and its tributaries led to placer accumulations in the modern creeks. Highly anomalous arsenic in sediment soils from Ten Mile Creek drainage with coincident anomalous gold suggest gold-arsenopyrite veins as sources for placer gold in that creek.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:34","2023-12-12 10:12:34","",""
42700,"information","Soil Geochemistry above Deeply Weathered Porphyry Deposits in Unglaciated Terrain, Dawson Range, Central Yukon","Much of west-central Yukon escaped glaciation and is underlain by leached and oxidized, deeply weathered bedrock. Background and anomalous metal values in these soils are presumed to be lower than normal and therefore increase the challenge of interpreting soil geochemical surveys. It is suspected that the geochemical contrast between background and anomalous values can be maximized by sampling a particular soil horizon or analysing a specific size fraction.

One hundred and sixteen samples were collected from soil profiles at ten sites above four porphyry-style mineral deposits - Antoniuk, Revenue, Nucleus and Casino in the Dawson Range of the Yukon-Tanana Terrane. B-horizon soils are locally clay-rich, thin and poorly developed. C-horizon soils are unconsolidated and very coarse grained. Bedrock samples from each site were crushed and analysed for comparison. All samples were analysed using the Au plus 32 (FA-AA and ICP) package which is a popular and economical method currently employed in most exploration programs.

The results are generally consistent within the few samples taken at each deposit, but vary considerably overall, and probably reflect the variable physio-chemical conditions between the deposits. Gold and copper are emphasized in the evaluation of the data, but gold data from the fine-grained fraction are incomplete due to insufficient material from the generally coarse-grained soils. Although statistical accuracy cannot be confirmed with such a small sample set, the following trends are recognized:

- the highest gold values typically occur in the lowest soil horizon (C2) and in the -200 mesh fraction;
- the highest copper values were found in both the -35+80 and -200 mesh fractions (deposit dependent) but were consistently richer in the C2 horizon;
- metal values are commonly depleted in the highest B-horizon (B1), particularly in the +35-80 fraction;
- metal values are most commonly enriched in the B2 and C2 horizons;
- metal depletion is most pronounced in the -35+80 fraction;
- there is a strong positive correlation between gold, copper and molybdenum;
- in addition, As, Bi, P, and to a lesser extent, Sb and Sr have a strong positive correlation with gold, As, Sb, Sr and to a lesser extent Ba and Pb have a strong positive correlation with copper.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:35","2023-12-12 10:12:34","",""
42800,"information","Preliminary results of a petrological study of ultramafic rocks of the Northern Cordillera","The Cache Creek (CCT) and Slide Mountain terranes (SMT), including the Seventymile Terrane in Alaska of the Northern Cordillera consist of oceanic assemblages that have been tectonically emplaced. The CCT has been enclosed by a series of arc terranes, whereas the SMT has been thrust onto pericratonic North America. Detailed studies of ultramafic rocks in CCT, SMT, Livengood Terrane and the Kluane metamorphic assemblage across Yukon, Alaska and British Columbia were conducted at nine site locations. The most common type of ultramafic rock present at these localities is serpentinized harzburgite. The ultramafic rocks from the CCT and SMT have been interpreted as the lower layers from dismembered ophiolite complexes. Samples collected from the CCT are consistently harzburgite, whereas samples from the SMT are both mantle-derived harzburgite and lherzolite. The variety of ultramafic rock present in the SMT suggests they were generated within contrasting geological settings.","Science and technology","Yukon Geological Survey,Cache Creek Terrane,Slide Mountain terrane,igneous petrology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:37","2023-12-12 10:12:34","",""
43000,"information","Gold","","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:41","2023-12-12 10:12:34","",""
43100,"information","Surficial geology of Kiyera Lake (115G/15), Yukon (1: 50 000 scale).","The Kiyera Lake map area straddles the northwestern extent of the Nisling Range.  Broad treeless uplands dominate the landscape with summits reaching above 1800 m above sea level. Upland surfaces are characterized by weathered bedrock colluvium, tors and sporadically distributed till deposits from former alpine glaciers in cirques. Upland surficial materials are affected by active periglacial processes such as cryoturbation, nivation and solifluction.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:42","2023-12-12 10:12:34","",""
43800,"information","The Pyroxenite Creek Ultramafic Complex : An Alaska-type ultramafic intrusion in the southwest Yukon","A copy of this thesis is available at the EMR library – QE462.U4.S78 1975.","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:06","2023-12-12 10:12:34","",""
44500,"information","Character of unoxidized gold-silver mineralization and its relationship to beneficiation at the Brown-McDade Zone, Mt. Nansen Property, south-central Yukon","","Science and technology","Yukon Geological Survey,","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","","OGL-Yukon-2.0","","","2011-04-04 03:04:19","2023-12-12 10:12:34","",""
