"DATA_ID","SCHEMA_TYPE","NOTES","TOPIC","INTERNAL_CONTACT_NAME","INTERNAL_CONTACT_EMAIL","ORGANIZATION_TITLE","CUSTODIAN","HOMEPAGE_URL","LICENSE_ID","PUBLICATION_REQUIRED_UNDER_ATIPP_ACT","PUBLICATION_TYPE_UNDER_ATIPP_ACT","METADATA_CREATED","METADATA_MODIFIED","DKAN_URI","DKAN_NODE_ID"
2,"data","A geological compilation map showing the tectonostratigraphic terranes of Yukon, British Columbia, and Alaska.  Intended for use by the exploration community, prospectors, and geologists.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/2","OGL-Yukon-2.0","","","2013-10-28 03:10:10","2025-07-11 03:07:13","",""
18,"data","A Yukon-wide compilation of 1102 till geochemistry samples collected during 4 regional till sampling surveys conducted by Yukon Geological Survey in the Faro/Anvil Range, Weasel Lake, Finlayson Lake and Glenlyon/East Carmacks areas between 1998 and 2002. Complete analytical results for more than 40 elements are included in the attribute table for each sample.","Science and technology","Yukon Geological Survey","YGS-Surficial@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/18","OGL-Yukon-2.0","","","2014-04-14 09:04:37","2025-07-02 10:07:00","",""
19,"data","This GIS dataset is a Yukon-wide compilation of detailed stratigraphic section descriptions from 421 locations as depicted on 51 published and unpublished surficial geology maps of various scales produced by the Geological Survey of Canada and Yukon Geological Survey. Attribute data for 1198 section layers includes: unit depths and thicknesses; surficial material classification; and detailed descriptive notes such as texture, structure, sorting, colour, age and/or location.","Science and technology","Yukon Geological Survey","YGS-Surficial@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/19","OGL-Yukon-2.0","","","2014-04-14 09:04:02","2025-07-11 11:07:18","",""
22,"data","Geochronology is a discipline of geoscience which measures the age of earth materials and provides the temporal framework in which other geoscience data can be interpreted in the context of Earth history. This knowledge helps to answer questions such as when did a volcano last erupt, what is the rate of crustal uplift in a specific area, are rocks at one gold prospect the same age as those at another.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/22","OGL-Yukon-2.0","","","2018-09-04 03:09:59","2025-07-11 09:07:20","",""
21,"data","This product contains stream sediment geochemical data from regional geochemical surveys (RGS) in Yukon.","Science and technology","Yukon Geological Survey","ygs-minerals@gov.yk.ca; geology@gov.yk.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/21","OGL-Yukon-2.0","","","2016-12-19 11:12:20","2025-07-11 11:07:43","",""
23,"data","These georeferenced pdf maps contain the most current bedrock geology information in Yukon. They are intended for use in software such as Avenza PDF Maps.  The geological data used to create these maps can be downloaded at https://data.geology.gov.yk.ca/Compilation/3. 

These maps are subject to periodic updates. The Yukon Geological Survey welcomes any revisions or new geological information. Any questions or comments can be directed to geology@gov.yk.ca.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/23","OGL-Yukon-2.0","","","2018-11-23 08:11:36","2025-07-11 09:07:25","",""
3,"data","This update of the Yukon bedrock geology map builds upon the previous compilation by Gordey and Makepeace (1999, 2001).  The data set includes the bedrock geology, faults and contacts, geochronology and map index; published by Yukon Geological Survey (January 2022). New digital data are being released incrementally and will be updated regularly as new parts of the compilation are ready. Any errors noted by the user of this data should be reported promptly to the Yukon Geological Survey.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/3","OGL-Yukon-2.0","","","2013-11-29 01:11:41","2025-07-11 09:07:59","",""
24,"data","Minfile contains geological, location, and economic information on more than 2,500 metallic, industrial mineral and coal mines, deposits and occurrences in Yukon. 

This GIS data set is a daily extract of our MINFILE database, showing point location, name, deposit type, deposit status and commodities.  It does not contain capsule, production, or resource/reserve data. For this, please visit our website https://data.geology.gov.yk.ca.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/24","OGL-Yukon-2.0","","","2019-07-15 02:07:40","2025-07-11 09:07:06","",""
25,"data","This data set represents the geographical extents of the work performed in annual Yukon mining assessment reports. The assessment reports are submitted by the owners of mining claims and are a technical report outlining the work done on their claim.

This data set is updated quarterly.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/25","OGL-Yukon-2.0","","","2019-07-15 02:07:33","2025-07-11 09:07:48","",""
26,"data","The H.S. Bostock Core Library is a repository for drill core and rock samples from various Yukon mineral properties and YGS mapping programs. This data set shows the collar coordinates that the core was collected from as well as associated metadata.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/26","OGL-Yukon-2.0","","","2019-07-15 02:07:11","2025-07-11 10:07:26","",""
29,"data","The nature and extent of past glaciations are depicted on the glacial limits map of Yukon.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/29","OGL-Yukon-2.0","","","2019-07-15 03:07:35","2025-07-11 09:07:39","",""
33,"data","A Yukon-wide compilation of spatial data derived from over 195 surficial geology maps originally published at scales ranging from 1:10,000 to 1:250,000.  Polygon features describe surficial material, texture, age, surface expression and geomorphological processes. Line features include surficial geological contacts, glacial limits and linear landforms. Point features include field stations and small site specific landforms.","Science and technology","Yukon Geological Survey","YGS-Surficial@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/33","OGL-Yukon-2.0","","","2019-07-17 02:07:48","2025-07-11 03:07:27","",""
35,"data","This product contains whole rock chemical analyses from Yukon samples.","Science and technology","Yukon Geological Survey","geology@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/35","OGL-Yukon-2.0","","","2020-08-03 01:08:09","2025-07-11 03:07:08","",""
36,"data","A database of geotechnical boreholes, ground temperature, and reports relating to permafrost in the Yukon.","Science and technology","Yukon Geological Survey","YGS-surficial@yukon.ca","Yukon Geological Survey","","https://data.geology.gov.yk.ca/Compilation/36","OGL-Yukon-2.0","","","2021-12-06 10:12:42","2025-07-11 11:07:19","",""
