"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"data","Terranes - GeoYukon","GeoYukon web map for viewing Terranes layers.","Webmap","2021-04-08 12:04:59","2025-07-02 10:07:38","","https://mapservices.gov.yk.ca/geoyukon/?&LayerTheme=Geology","",2,"","","",""
"data","Terranes - Data","Terranes - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2020-08-27 11:08:55","2025-07-02 10:07:04","","https://map-data.service.yukon.ca/GeoYukon/Geological/Terranes/","",2,"","","",""
"data","Terranes - Metadata","Layer files for the faults and terranes.","ZIP","2020-08-27 11:08:13","2025-07-11 03:07:11","","https://ygsftp.gov.yk.ca/YGSIDS/metadata/Bedrock_Terranes_Metadata.zip","",2,"","","",""
"data","Yukon Terranes 2020 - PDFs","Yukon Terranes 2020 - PDFs","PDF","2021-04-16 01:04:42","2025-07-11 12:07:09","","https://ygsftp.gov.yk.ca/YGSIDS/compilations/Terranes/2020/Terranes_PDF_2020.zip","",2,"","","",""
"data","Bedrock Geology - GeoYukon","GeoYukon web map for viewing Geology Data layers.","Webmap","2021-04-08 11:04:43","2025-07-02 07:07:15","","https://mapservices.gov.yk.ca/geoyukon/?&LayerTheme=Geology","",3,"","","",""
"data","Bedrock Geology - Data","Bedrock Geology - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2025-06-27 12:06:21","2025-07-11 07:07:23","","https://map-data.service.yukon.ca/GeoYukon/Geological/Yukon_Bedrock_Geology_Complete/","",3,"","","",""
"data","Bedrock map and legend (PDF) - 1M","Bedrock geology map and legend (1M scale)","PDF","2016-03-03 08:03:53","2025-07-11 07:07:06","","https://data.geology.gov.yk.ca/Reference/95934","",3,"","","",""
"data","Bedrock Geology - Metadata","This zip contains metadata, font package, lyr files and qml files.","Webmap","2025-07-11 02:07:45","2025-07-11 02:07:45","","https://ygsftp.gov.yk.ca/YGSIDS/metadata/Bedrock_Geology_Metadata.zip","",3,"","","",""
"data","Contacts - Data","Contacts - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2025-06-27 12:06:52","2025-07-02 07:07:15","","https://map-data.service.yukon.ca/geoyukon/Geological/Contacts/","",3,"","","",""
"data","Faults - Data","Faults - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2025-06-27 12:06:19","2025-07-02 07:07:20","","https://map-data.service.yukon.ca/geoyukon/Geological/Faults/","",3,"","","",""
"data","Folds - Data","Folds - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2025-06-27 12:06:51","2025-07-02 07:07:25","","https://map-data.service.yukon.ca/geoyukon/Geological/Folds_250k/","",3,"","","",""
"data","Georeferenced 250k bedrock maps","These georeferenced pdf maps contain bedrock geology information in Yukon. They are intended for use in software such as Avenza PDF Maps.","Web","2018-11-23 03:11:33","2025-07-02 08:07:58","","https://data.geology.gov.yk.ca/Compilation/23","",3,"","","",""
"data","Till geochemistry 2014-04-08 - Metadata","Till Geochemistry Samples - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2019-11-06 04:11:53","2025-07-02 10:07:58","","https://ygsftp.gov.yk.ca/YGSIDS/compilations/Till_Geochemistry/","",18,"","","",""
"data","Yukon Digital Surficial Geology Compilation Info","Background information on the Yukon digital surficial geology compilation project as a whole, including: data compilation methods; a summary of the Yukon terrain classification system; and descriptions and links to all GIS products (24 page PDF document, 798 KB)","Web","2020-01-10 04:01:56","2025-07-02 10:07:13","","https://data.geology.gov.yk.ca/Compilation/33","",18,"","","",""
"data","PDF (GSC source maps only)","Compilation source maps and legends originally produced by GSC may be downloaded in PDF format by searching the GEOSCAN publications database by author, title and/or publication number.","Web","2014-04-14 01:04:15","2025-07-02 09:07:54","","https://ostrnrcan-dostrncan.canada.ca/handle/1845/60977","",19,"","","",""
"data","Stratigraphic sections 2014-04-08 - Data","Stratigraphic sections - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2019-11-06 04:11:59","2025-07-02 09:07:39","","https://ygsftp.gov.yk.ca/YGSIDS/compilations/StratigraphicSections/","",19,"","","",""
"data","PDF (YGS source maps only)","Compilation source maps and legends originally produced by YGS may be downloaded in PDF format by clicking on the links provided in the “Related References” table below, or by searching the YGS integrated data system (YGSIDS) by author, title and/or publication number.","PDF","2014-04-14 01:04:15","2025-07-02 09:07:56","","https://data.geology.gov.yk.ca/","",19,"","","",""
"data","Yukon Digital Surficial Geology Compilation Info","Background information on the Yukon digital surficial geology compilation project as a whole, including: data compilation methods; a summary of the Yukon terrain classification system; and descriptions and links to all GIS products (24 page PDF document, 798 KB)","Web","2014-04-17 12:04:10","2025-07-02 09:07:51","","https://data.geology.gov.yk.ca/Compilation/33","",19,"","","",""
"data","Regional Geochemical Surveys - GeoYukon","GeoYukon web map for viewing Regional Geochemical Surveys layers.","Webmap","2020-08-27 10:08:03","2025-07-11 11:07:37","","https://mapservices.gov.yk.ca/GeoYukon/?scale=640000&center=380201.8723245942%2C674515.8746579753&layers=1UQ3ku3r6%2B2J0R7Ui618eoz93BmEIl18eqUI2K1I3B","",21,"","","",""
"data","Regional Geochemical Surveys (RGS) - Data","Regional Geochemical Surveys (RGS) - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2020-11-19 11:11:38","2025-07-11 11:07:36","","https://map-data.service.yukon.ca/GeoYukon/Geological/Regional_Geochemical_Surveys_RGS_All_250k/","",21,"","","",""
"data","Regional Geochemical Surveys (RGS) - Metadata","This zip contains the metadata related to the RGSs.","ZIP","2025-07-11 11:07:00","2025-07-11 11:07:40","","https://ygsftp.gov.yk.ca/YGSIDS/compilations/RGS_Reanalysis/November_2020/Regional_Geochemical_Surveys_RGS_250k.xls.zip","",21,"","","",""
"data","Yukon geochronology - GeoYukon","GeoYukon web map for viewing Geochronology layers.","Webmap","2018-09-05 01:09:11","2025-07-11 12:07:13","","https://mapservices.gov.yk.ca/geoyukon/?scale=640000&center=381514.20828259934%2C691070.7215697523&layers=1UQ3ku1cw1p9","",22,"","","",""
"data","Geochronology - Data","Geochronology - Spatial Data (GDB, SHP, KMZ)","Spatial Data","2018-09-04 03:09:59","2025-07-02 10:07:47","","https://map-data.service.yukon.ca/GeoYukon/Geological/Geochronology/","",22,"","","",""
"data","Yukon geochronology Metadata","Project metadata and layer file to be used to symbolize data in GIS software.","ZIP","2020-08-27 10:08:32","2025-07-11 03:07:47","","https://ygsftp.gov.yk.ca/YGSIDS/metadata/Geochronology_Metadata.zip","",22,"","","",""
"data","105K geology","Tay River geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/105K_yukon_geology250k.pdf","",23,"","","",""
"data","105L geology","Glenlyon geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/105L_yukon_geology250k.pdf","",23,"","","",""
"data","105M geology","Mayo geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/105M_yukon_geology250k.pdf","",23,"","","",""
"data","105N geology","Lansing Range geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/105N_yukon_geology250k.pdf","",23,"","","",""
"data","105OP geology","Niddery Lake and Sekwi Mountain geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/105OP_yukon_geology250k.pdf","",23,"","","",""
"data","106B geology","Bonnet Plume Lake geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106B_yukon_geology250k.pdf","",23,"","","",""
"data","106C geology","Nadaleen River geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106C_yukon_geology250k.pdf","",23,"","","",""
"data","106D geology","Nash Creek geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106D_yukon_geology250k.pdf","",23,"","","",""
"data","106E geology","Wind River geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106E_yukon_geology250k.pdf","",23,"","","",""
"data","106F geology","Snake River geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106F_yukon_geology250k.pdf","",23,"","","",""
"data","106K geology","Martin House geology","PDF","2018-11-23 10:11:31","2025-07-02 08:07:55","","https://ygsftp.gov.yk.ca/publications/avenza_maps/106K_yukon_geology250k.pdf","",23,"","","",""
