schema_type,title,file_id,notes,organization_title,date_of_request,response_type,fees,language,license_id,metadata_created,metadata_modified,dkan_url_path
access-requests,21-0234,21-0234,"A list of companies with whom personal information, either identifying or de-identified, was shared, transferred, rented, sold to or otherwise monetized. Timeframe: January 1, 2017 - August 3, 2021.",Yukon Liquor Corporation,2021-08-10,no_records_found,No,,OGL-Yukon-2.0,2021-09-01 09:00:57,2023-01-19 11:06:21,https://open.yukon.ca/access-information/access-summary/21-0234
access-requests,21-0236,21-0236,"A list of any cyber incidents or data breaches involving personal information, with accompanying reports, that your corporation experienced.
Timeframe:  January 1  2018 - August 3 2021",Yukon Liquor Corporation,2021-08-10,no_records_found,No,,OGL-Yukon-2.0,2021-09-01 09:16:34,2023-01-19 11:04:01,https://open.yukon.ca/access-information/access-summary/21-0236
access-requests,21-0238,21-0238,"Coroner's Office - number of deaths in Whitehorse, compared to an aggregated rural communities figure, by year. And, number of both 'natural' and 'unnatural' deaths in both areas, by year.  
Timeframe: 01 January 2018 - 01 January 2021",Justice,2021-08-10,granted_in_full,No,,OGL-Yukon-2.0,2021-09-07 13:19:50,2024-12-31 16:05:58,https://open.yukon.ca/access-information/access-summary/21-0238
access-requests,21-0235,21-0235,"List of contracts for data services, info processing services a/o bulk data products purchased/acquired
Timeframe: Jan 01 2017 - Aug 03 2021",Yukon Liquor Corporation,2021-08-10,granted_in_full,No,,OGL-Yukon-2.0,2021-09-13 19:23:11,2024-12-31 16:04:59,https://open.yukon.ca/access-information/access-summary/21-0235
access-requests,21-0237,21-0237,"Health Vital statistics looking fir ascertain the numbers in Whitehorse compared to an aggregated rural communities figure, by year both natural and unnatural deaths in both areas by year. 

1. Death counts will be in 3 categories: natural, unnatural and undetermined 
2. I would like the location bases on where the person usually resides, rather than location of death 
3. If there is there a way to include Yukon people who have been medivaced out and then die, based their community of residence, that would  be helpful",Health and Social Services,2021-08-05,granted_in_part,No,,OGL-Yukon-2.0,2021-09-27 16:00:08,2023-01-19 11:04:21,https://open.yukon.ca/access-information/access-summary/21-0237
access-requests,21-0222,21-0222,"Change order for contract C00055076 Wildstone Construction; full breakdown of costing showing COVID-19 costs.
Timeframe: Jun 15 2020 - Jul 30 2021",Highways and Public Works,2021-08-05,granted_in_part,No,,OGL-Yukon-2.0,2021-09-28 08:35:00,2023-01-19 11:04:29,https://open.yukon.ca/access-information/access-summary/21-0222
access-requests,21-0223,21-0223,"Contract: C00057205 - Visitor Info Center Boardwalk Replacement with Wildstone Construction Ltd. scope and costs of all change orders; breakdown of costing and costs as pertaining to COVID 19
Timeframe: Nov 5 2020 - Jul 30 2021",Highways and Public Works,2021-08-04,granted_in_part,No,,OGL-Yukon-2.0,2021-09-29 12:01:09,2024-01-17 09:09:00,https://open.yukon.ca/access-information/access-summary/21-0223
access-requests,21-0239,21-0239,"Any Privacy Impact Assessments for systems that contain customer data from Jan. 2017 to present day. I understand that certain redactions may be required, but would like to receive as much of the reports as possible. Timeframe: 01 January 2017 - 03 August 2021",Yukon Energy Corporation,2021-08-09,granted_in_part,No,,OGL-Yukon-2.0,2021-09-29 13:25:27,2024-02-06 19:43:14,https://open.yukon.ca/access-information/access-summary/21-0239
access-requests,21-0240,21-0240,"A list of companies with whom personal information, either identifying or de-identified, was shared, transferred, rented, sold to or otherwise monetized from Jan. 2017 to present day. Timeframe: 01 January 2017 - 03 August 2021.",Yukon Energy Corporation,2021-08-09,granted_in_full,No,,OGL-Yukon-2.0,2021-09-29 13:27:52,2024-01-30 20:15:38,https://open.yukon.ca/access-information/access-summary/21-0240
access-requests,21-0241,21-0241,"A list of contracts for data services, information processing services and/or bulk data products purchased/acquired by your organization from Jan. 2017 to present day. Timeframe: 01 January 2017 - 03 August 2021",Yukon Energy Corporation,2021-08-09,granted_in_full,No,,OGL-Yukon-2.0,2021-09-29 13:30:30,2024-01-30 20:16:27,https://open.yukon.ca/access-information/access-summary/21-0241
