schema_type,title,notes,tags,language,license_id,metadata_created,metadata_modified,update_frequency,custodian,internal_contact_name,internal_contact_email,homepage_url,spatial_coverage_locations,temporal_coverage_start_date,temporal_coverage_end_date,dkan_url_path
data,Designated Historic Sites Yukon,Yukon Historic Sites designated under the Historic Resources Act,"tourism,history",,OGL-Yukon-2.0,2017-09-19 01:08:51,2021-07-06 16:03:58,,Yukon Register of Historic Places,"Historic Sites Unit, Department of Tourism & Culture",yukon.registrar@gov.yk.ca,,Yukon,,,https://open.yukon.ca/data/datasets/designated-historic-sites-yukon
data,Yukon aerial photographs locator,"The Energy, Mines and Resources (EMR) Library owns over 100,000 aerial photographs of the Yukon.

You can photocopy or scan (600x600 dpi) aerial photographs in the library.  If you wish to scan aerial photos, please bring a new, unformatted USB flash drive.  Photocopies are limited to 25 per client, per day. Scanning is unlimited.

You can borrow aerial photographs overnight. You must leave your credit card (Visa, MasterCard, or American Express) information with the library's staff as security.  

The EMR Library catalogue also lists aerial photographs held by Highways and Public Works (HPW). 
To access HPW's aerial photographs, contact the EMR Library. Phone 867-667-3111 or email emrlibrary@yukon.ca.

Many aerial photographs have been scanned and are now available on GeoYukon. For more information on using GeoYukon, contact the EMR Library at 867-667-3111 or email emrlibrary@yukon.ca.",,,OGL-Yukon-2.0,2017-09-20 12:32:48,2023-08-24 09:42:47,ad_hoc,EMR,EMR Library,emrlibrary@yukon.ca,https://yukon.ca/en/science-and-natural-resources/research-and-monitoring/find-air-photos-yukon,Yukon,,,https://open.yukon.ca/data/datasets/yukon-aerial-photographs-locator
data,Yukon Snow Survey Network,"Manual snow survey sampling from snow courses consisting of 10 measurement points. Measurements of snow water equivalent (SWE), and snow density are expressed as an average across the snow course. Measurements are taken three times a year at the start of March, April , and May.",water,english,OGL-Yukon-2.0,2018-04-10 09:13:25,2025-05-09 10:08:18,semiannual,ENV - Water Resources,Water Resources Branch,water.resources@gov.yk.ca,https://yukon.ca/en/science-and-natural-resources/research-and-monitoring/snow-surveys-and-water-supply-forecasts,"Yukon, Northern British Columbia, Western Alaska",1958-01-01,2019-05-31,https://open.yukon.ca/data/datasets/yukon-snow-survey-network
data,"Housing Tenure, Condition, Period of Construction and Structural Type (Census 2006)","Datasource: Statistics Canada. 2008. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. May 01, 2008. Version modified July 29,2008.  http://www12.statcan.ca/english/census06/data/profiles/release/ListProducts.cfm?Temporal=2006&APATH=3&THEME=81&PTYPE=89103&GRP=1 (accessed November 7, 2008). 



Statistics Canada. 2009. 2006 Semi-custom Profile of Yukon CSD Aggregations, 2006 Census (table). CRO0104245. Ottawa. March 17, 2009.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. The total number of occupied private dwellings by structural type is based on . The rest of the table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  '{definitions}#Suppression'  suppression","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,census,two mile village,housing,dwellings",,OGL-Yukon-2.0,2018-09-19 09:35:29,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2006-01-01,2006-12-31,https://open.yukon.ca/data/datasets/housing-tenure-condition-period-construction-and-structural-type-census-2006
data,Place of Employment (Census 2006),"Datasource: Statistics Canada. 2008. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. May 01, 2008. Version modified July 29,2008.  http://www12.statcan.ca/english/census06/data/profiles/release/ListProducts.cfm?Temporal=2006&APATH=3&THEME=81&PTYPE=89103&GRP=1 (accessed November 7, 2008). 



Statistics Canada. 2009. 2006 Semi-custom Profile of Yukon CSD Aggregations, 2006 Census (table). CRO0104245. Ottawa. March 17, 2009.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  http://www12.statcan.ca/english/census06/reference/dictionary/atoz.cfm.","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,two mile village,economy,employment",,OGL-Yukon-2.0,2018-09-19 09:35:29,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2006-01-01,2006-12-31,https://open.yukon.ca/data/datasets/place-employment-census-2006
data,Visible Minority Group (Census 2006),"Datasource: Statistics Canada. 2008. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. May 01, 2008. Version modified July 29,2008.  http://www12.statcan.ca/english/census06/data/profiles/release/ListProducts.cfm?Temporal=2006&APATH=3&THEME=81&PTYPE=89103&GRP=1 (accessed November 7, 2008). 



Statistics Canada. 2009. 2006 Semi-custom Profile of Yukon CSD Aggregations, 2006 Census (table). CRO0104245. Ottawa. March 17, 2009.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  http://www12.statcan.ca/english/census06/reference/dictionary/atoz.cfm.","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,census,two mile village,diversity,minority",,OGL-Yukon-2.0,2018-09-19 09:35:29,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2006-01-01,2006-12-31,https://open.yukon.ca/data/datasets/visible-minority-group-census-2006
data,Language Used at Work (Census 2006),"Datasource: Statistics Canada. 2008. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. May 01, 2008. Version modified July 29,2008.  http://www12.statcan.ca/english/census06/data/profiles/release/ListProducts.cfm?Temporal=2006&APATH=3&THEME=81&PTYPE=89103&GRP=1 (accessed November 7, 2008). 



Statistics Canada. 2009. 2006 Semi-custom Profile of Yukon CSD Aggregations, 2006 Census (table). CRO0104245. Ottawa. March 17, 2009.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms,  http://www12.statcan.ca/english/census06/reference/dictionary/atoz.cfm.","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,census,two mile village,language,personal",,OGL-Yukon-2.0,2018-09-19 09:35:29,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2006-01-01,2006-12-31,https://open.yukon.ca/data/datasets/language-used-work-census-2006
data,"Housing Tenure, Condition, Period of Construction and Structural Type (National Household Survey 2011)","Datasource: Statistics Canada. 2013. National Household Survey (NHS) Profile. 2011 National Household Survey. Statistics Canada Catalogue no. 99-004-XWE. Ottawa. Released September 11, 2013.  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E  (accessed October 9, 2014). 

Statistics Canada. 2014. 2011 Semi-custom Profile of Yukon Territory and Selected Regions, 2011 National Household Survey. Ottawa. February 20, 2014.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/help-aide/aboutdata-aproposdonnees.cfm?Lang=E suppressed  for confidentiality reasons. 

Values have been subjected to a confidentiality procedure known as  http://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/help-aide/aboutdata-aproposdonnees.cfm?Lang=E random rounding 

For Statistics Canada's definition of terms,  http://www12.statcan.gc.ca/nhs-enm/2011/ref/dict/azindex-eng.cfm click here","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,two mile village,marsh lake,nhs,housing,dwellings,national household survey",,OGL-Yukon-2.0,2018-09-19 09:36:01,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2011-01-01,2011-12-31,https://open.yukon.ca/data/datasets/housing-tenure-condition-period-construction-and-structural-type-national-household
data,Post-secondary Qualifications by Major Field of Study (Census 2001),"Datasource: Statistics Canada. 2003. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2001 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. October 22, 2003. http://www12.statcan.ca/english/census01/products/standard/profiles/ListProducts.cfm?%20Temporal=2001&APATH=3&RL=9&FREE=0 (accessed November 7, 2008). 



Statistics Canada. 2009. 2001 Census Semi-Custom Profile of Selected CSD Aggregates in Yukon, 2001 Census (tables). J5543 and CRO0105914. Ottawa. November 7, 2008.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms, http://www12.statcan.ca/english/census01/Products/Reference/dict/atoz.htm.","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,census,carcross 4,stewart crossing,education",,OGL-Yukon-2.0,2018-09-19 09:36:01,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2001-01-01,2001-12-31,https://open.yukon.ca/data/datasets/post-secondary-qualifications-major-field-study-census-2001
data,"Non-census Family Income (in 2000, Census 2001)","Datasource: Statistics Canada. 2003. Profile for Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2001 Census (table). Cumulative Electronic Profiles. Statistics Canada Catalogue no. 95F0495XCB01001. Ottawa. October 22, 2003. http://www12.statcan.ca/english/census01/products/standard/profiles/ListProducts.cfm?%20Temporal=2001&APATH=3&RL=9&FREE=0 (accessed November 7, 2008). 



Statistics Canada. 2009. 2001 Census Semi-Custom Profile of Selected CSD Aggregates in Yukon, 2001 Census (tables). J5543 and CRO0105914. Ottawa. November 7, 2008.



Footnotes: A value of 0 in any given cell represents one of the following: 1) value is actually zero; 2) value may be random rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons. A value of .. indicates this data is not available for this community or area. This table is based on 20% data.

Values have been subjected to a confidentiality procedure known as random rounding.

For Statistics Canada's definition of terms, http://www12.statcan.ca/english/census01/Products/Reference/dict/atoz.htm.","yukon,carcross,beaver creek,burwash landing,dawson,faro,haines junction,mount lorne,old crow,pelly crossing,ross river,teslin,upper liard,watson lake,whitehorse,teslin post,carmacks,destruction bay,ibex valley,mayo,tagish,whitehorse unorganized,two and one half mile village,yukon unorganized,economy,carcross 4,stewart crossing,income",,OGL-Yukon-2.0,2018-09-19 09:36:01,2021-07-06 16:03:58,annual,Yukon Bureau of Statistics,Gary Brown,Gary.Brown@gov.yk.ca,http://sewp.gov.yk.ca/home,Yukon,2001-01-01,2001-12-31,https://open.yukon.ca/data/datasets/non-census-family-income-2000-census-2001
