schema_type,title,notes,topics,tags,internal_contact_name,internal_contact_email,organization_title,custodian,homepage_url,internal_notes,language,license_id,publication_required_under_atipp_act,publication_type_under_atipp_act,metadata_created,metadata_modified,dkan_uri,dkan_node_id
information,Weight restrictions histories,Historical data of when weight restrictions were put in place and removed on major Yukon highways.,"Economics and industry,Transport",history,Transportation Maintenance Branch - Maintenance and Programming,Antoine.Goulet@yukon.ca,Highways and Public Works,Transportation Maintenance Branch,https://yukon.ca/en/driving-and-transportation/commercial-vehicles,Harvest source: Transportation 1_26022019. Harvest source modified: 1969-12-31. ,english,OGL-Yukon-2.0,No,,2021-02-02 00:00:00,2025-05-30 11:09:22,https://open.yukon.ca/information/publications/weight-restrictions-histories,24256
information,Yukon Government Supplier Directory,"Yukon business directory includes information about the contractors, suppliers of goods & services and consultants who want to do business with the Yukon government. The information is provided by the supplier and Government of Yukon does not verify this information.","Economics and industry,Government and politics","business,contracts,tenders",Procurement Support Centre,contracts@gov.yk.ca,Procurement Support Centre,Government of Yukon,https://service.yukon.ca/apps/supplier-directory/f?p=158:1::::::,Harvest source: PROC 9_17062019. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,,,2019-06-17 14:52:42,2022-08-23 11:25:35,https://open.yukon.ca/information/publications/yukon-government-supplier-directory,30811
information,2001–02 Supplementary estimates no. 2,"Supplementary estimates no. 2 for the Government of Yukon 2001–02 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 30th Legislature, Yukon Legislative Assembly. April 2002, Whitehorse, Yukon.",Government and politics,"2001,2001-02,publication,supplementary estimates 2",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2002-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:56:11,2022-03-31 17:13:42,https://open.yukon.ca/information/publications/2001–02-supplementary-estimates-no-2,34972
information,2006–07 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2006–07 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. November 2006, Whitehorse, Yukon.",Government and politics,"2006,2006-07,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2006-11-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:56:11,2022-03-31 17:33:53,https://open.yukon.ca/information/publications/2006–07-supplementary-estimates-no-1,34983
information,2011–12 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2011–12 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. February 2011, Whitehorse, Yukon.",Government and politics,"2011,2011-12,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2011-02-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:57:04,2022-03-31 18:10:50,https://open.yukon.ca/information/publications/2011–12-operation-and-maintenance-main-estimates,35009
information,2009–10 Capital main estimates,"Capital main estimates for the Government of Yukon 2009–10 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2009, Whitehorse, Yukon.",Government and politics,"2009,2009-10,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2009-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:58:08,2022-03-31 18:03:10,https://open.yukon.ca/information/publications/2009–10-capital-main-estimates,35044
information,2016–17 Supplementary estimates no. 1,"Supplementary estimates no. 1 for the Government of Yukon 2016–17 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 2nd Session of the 34th Legislature, Yukon Legislative Assembly. April 2017, Whitehorse, Yukon.",Government and politics,"2016,2016-17,publication,supplementary estimates 1",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2017-04-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-07-20 11:07:41,2022-04-01 12:53:25,https://open.yukon.ca/information/publications/2016–17-supplementary-estimates-no-1,35068
information,2008–09 Capital main estimates,"Capital main estimates for the Government of Yukon 2008–09 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 32nd Legislature, Yukon Legislative Assembly. March 2008, Whitehorse, Yukon.",Government and politics,"2008,2008-09,capital main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2008-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:59:12,2022-03-31 17:59:47,https://open.yukon.ca/information/publications/2008–09-capital-main-estimates,35096
information,2005–06 Operation and maintenance main estimates,"Operation and maintenance main estimates for the Government of Yukon 2005–06 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 31st Legislature, Yukon Legislative Assembly. March 2005, Whitehorse, Yukon.",Government and politics,"2005,2005-06,operation and maintenance main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2005-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 20:59:12,2022-03-31 17:30:21,https://open.yukon.ca/information/publications/2005–06-operation-and-maintenance-main-estimates,35120
information,2014–15 Main estimates,"Main estimates for the Government of Yukon 2014–15 Budget. 
This document was prepared by the Department of Finance under the direction of Management Board for the 1st Session of the 33rd Legislature, Yukon Legislative Assembly. March 2014, Whitehorse, Yukon.",Government and politics,"2014,2014-15,main estimates,publication",Communications Advisor,misha.donohoe@gov.yk.ca,Finance,Finance,https://yukon.ca/budget,Harvest source: Finance_47. Harvest source modified: 2014-03-01 00:00:00. ,,OGL-Yukon-2.0,Yes,,2020-03-30 21:00:16,2022-04-01 12:44:14,https://open.yukon.ca/information/publications/2014–15-main-estimates,35154
