schema_type,title,notes,organization_title,language,license_id,privacy_impact_assessment_number,date_of_approval,metadata_created,metadata_modified,dkan_uri,dkan_node_id
pia-summaries,Traffic Classifiers,"Yukon's Department of Highways and Public Works, Transportation and Engineering Branch (TEB) is responsible for a variety of activities, including transportation planning, monitoring the condition of transportation infrastructure for planning and management purposes and road infrastructure safety analysis. As a part of carrying out these responsibilities, TEB leads and supports the Intelligent Transportation Systems (ITS) within the Yukon Government (YG).

ITS is implementing a Traffic Classifier system (the"" System"") for the purpose of traffic safety analysis and improvement. The system consists of a camera (""Camera"") that captures live stream video, which is connected to the traffic classifier, the TrafficEmbedded unit. (""Unit""). The Unit contains an Al engine (FLOW) which analyzes the video stream and extracts data. These non-image traffic insights are then sent to a FLOW Insights dashboard for use within TEB. As soon as the image is processed, there is no longer any personal information included in the system, it is only analytics. A System visualization is attached in Appendix E.

The non-image traffic insights, containing no personal information, can also be sent on further and used for smart city platforms, LED signs and as a basis for signal/traffic lights control.

The purpose of the System is to capture how roads, sidewalks, airports, and multiuse trails are used and at what volume allow YG to make informed decisions regarding speeds, safety information and future planning. The System works by classifying the images from the Camera according to specific parameters. The classifications include large mammal, vehicle, plane, bike, person, and others. The System can count the number of each class, track trajectories, near misses and collisions between and among classes, speed, traffic violations, and more. The information can be used by TEB to make changes to traffic lights, automatically activate roadside signs or pedestrian signals and other safety related information. TEB can also use the information to understand the frequency of use of various roads and pathways.

The only personal information collected by the System is the live-stream video captured by the camera and fed into the Unit. This could be video of a person or of their vehicle. There is no storage of the image within the Camera or Unit. Once the video stream reaches the Unit there is no further transmission of the images. There is no ability to go into the System and pull historical video feeds. All analysis occurs in real-time, in milliseconds, within the Unit.
This is not a surveillance system, rather a classification and counting system.

During system set up and maintenance, access can be granted to the live video stream in order to configure conditions for analysis and to train the artificial intelligence in classifying images. There are two options for HPW-TEB staff to access the live feed, either they will need to take a computer to the traffic classifier location, or they can connect the traffic classifier to the internet and can then access the video feed via VPN. Data From Sky, the Unit creator, can also access the live video stream, only when their specific VPN is enabled by TEB staff, and assist in system configuration and troubleshooting. The video feed is not accessed on any sort of regular basis or used for other purposes.",Highways and Public Works,,OGL-Yukon-2.0,HPW-PIA-2022-01,2022-04-08,2022-04-20 09:34:43,2024-06-24 11:03:30,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/traffic-classifiers,55114
pia-summaries,Canto Cumulus System,"The Tourism and Culture Department -Visitor Services, Photography Unit (Photo Unit) of the Yukon Government (YG) manages the database for Government of Yukon photography. It supports the Tourism and Culture purpose of supporting, protecting, promoting and enhancing Yukon’s tourism, culture, heritage and arts sectors for the benefit of Yukoners and visitors. 
The Photo Unit maintains a significant catalogue of digital media, including photos and videos, for promotional and marketing materials at YG. It has been using an on-premises solution for over 20 years, provided by Cumulus software. Since Cumulus will no longer be supporting this software, the Photo Unit is required to find an alternative software solution for their Digital Asset Management (DAM) needs. 
To replace the legacy system, Cumulus is shifting to a cloud-based solution. Canto Cumulus (“Canto”, https://www.canto.com) is a DAM software service that will allow for the collection, storage, organization, filtering, and searching of digital images, videos, and other media. The Photo Unit wishes to use this system to manage their inventory of digital media. Canto is seen as software for the 21st century and will allow for migration of the current digital assets from the on-premises software. 
A PIA for this software system has been deemed necessary because it will manage digital media which may display identifiable people. Names and other details of the individual are not included in the photos, or their meta data, unless the image is of an individual in their work capacity, such as a member of the YG cabinet or the name of a business owner whose photo is taken for promotion of that business. 
Note: Canto also offers a search feature based on recognizable faces, and thus employs a form of biometric identification. This feature has been disabled within the system at the Administrative user level. Should consideration be given to enabling this ability, this PIA will be amended accordingly.",Tourism and Culture,,OGL-Yukon-2.0,TC-PIA-2022-01,2022-04-04,2022-05-10 15:45:52,2022-05-10 15:45:52,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/canto-cumulus-system,56498
pia-summaries,Auth0,"To manage the user authentication and log on to the Yukon Government (""YG"") online systems and services, YG has decided to use the Auth0 Authenticator to facilitate a Single Sign on (“SSO”). SSO occurs when a user logs in to one application and is then signed into other applications automatically, regardless of the platform, technology, or domain the user is using. Citizens or other users sign in in a single time and are then logged on to any of the affiliated systems/services they are authorized to utilize.
Auth0 will be used by YG staff (“Staff Users”) to manage the log-on process to multiple government systems, as well as by members of the public (“Public Users”) who require access to various YG government online services. Though the Staff and Public Users will follow largely the same process, they are discussed separately in the Privacy Impact Assessment to ensure that the differences are documented.
The Department of Highways and Public Works (“HPW”) is the department responsible for the management of Auth0 and the collection of the information, however, Auth0 may be used by any YG Department of program area for their systems. As such, this PIA will focus on the broad use of Auth0 throughout YG.",Highways and Public Works,,OGL-Yukon-2.0,HPW-PIA-2022-002,2022-04-06,2022-05-11 12:45:54,2024-06-24 11:04:01,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/auth0,56500
pia-summaries,Yukon Land Titles Registry,"History and current state 
The Land Titles Office (LTO) of the Department of Justice maintains public documents that are accessible to stakeholders (e.g., lawyers, land surveyors) and the public to conduct land titles-related transactions and searches under Yukon’s Torrens system1 of land registration. 
The increase in number and complexity of real estate transactions over the past 20+ years has resulted in strains on the processes and systems, including longer turnaround times for registrations, requests, and queries. These longer turnaround times have a direct and negative economic impact on professional stakeholders, developers, and members of the public. The LTO committed to modernizing and streamlining all aspects of its operations to allow staff to work to their full capacity and to meet the needs of stakeholders and the public more effectively. 
The LTO has conducted business using only manual, paper-based processes for over 100 years. The introduction of a database (Land Interest Management System, LIMS) about 20 years ago to record many government land interests across departments resulted in land titles information being entered into the database. LIMS is a centralized land information repository but is not a land-titles-specific system. LIMS did not eliminate manual examination or handling of submitted paper documents. Instead, it created additional work to transfer information from paper into the system. LIMS can compile certificates of title for land titles that are in its database. However, LIMS does not contain many cancelled titles or some active titles. Since the implementation in December 2019 of the Yukon Land Titles Registry (YLTR), ownership of LIMS has transferred to Energy, Mines and Resources, Lands Branch. 
In 2012, the Government of Yukon (YG) reviewed and analyzed the present state of the land titles systems in the Yukon and other Canadian jurisdictions: legislation, business processes, supporting computer platform, governance model, and financial/fee structure. This initiative included a full review of existing Yukon legislation, engagement with stakeholders, and business requirements gathering and analysis. 
In 2015, legislation review and stakeholder engagement resulted in a new Condominium Act, 2015 and Land Titles Act, 2015, which were passed by the Legislative Assembly. The Land Titles Act, 2015 has been proclaimed but the Condominium Act, 2015 has since been amended and awaits proclamation on October 1, 2022. 
Among other things, The Land Titles Act, 2015 enables business process changes that contribute to the LTO modernization. These changes include support for the move from the current paper-based system to an electronic system that can support the growth in complexity and volume of transactions as well as improvements to LTO business processes. 
The LTO currently consists of 11 employees including the Registrar, processes approximately 9000-10000 documents per year, and manages approximately 19,000 certificates of title. 
The LTO holds records dating from 1897 to present. These include original hand-written and word-processed records for all titles as well as a combination of microfilm, microfiche, and digital (LIMS) formats. 
The paper filing system for all original paper records consists of over 240,000 documents, which are filed numerically and stored in a physical vault. This system includes all documentation related to land titles. Document formats vary in size and include paper, survey plans, bound books, cross-reference and index books, and patents. 
The LTO has maintained a daybook since 1897 which records every instrument and caveat submitted for registration. From 1997 to 2019, the LTO has registered instruments and caveats manually in both the daybook and LIMS although only the entry in the daybook has legal effect. LTO staff entered a brief description of each instrument or caveat into LIMS and assigned the next sequential number to the instrument.
Since the implementation of the electronic registry on December 2, 2019, the Daybook is maintained by retaining a paper copy of every Document Registration Form and electronic reports that can be run detailing all registrations.
YG started a microfilm program in 1985 to microfilm original certificates of title, instruments, and daybooks. The YG Records Centre, which is in a different location than LTO, holds the master microfilm and master microfiche of land titles records while the LTO holds a microfilm/microfiche copy of the records. Certificates of title are microfiched (jacket system) and instruments are microfilmed (roll).
LTO registration fees are estimated by the system at the time of submission. Clients must provide payment either before services are provided or by way of maintaining a prepaid account with LTO. Fees and account balances are calculated, charged, and maintained electronically in the registry system. The system automatically creates and sends a monthly account balance statement for every account holder if there has been activity during that month or if the account holds a positive balance.
Anyone can request land titles information. Lawyers or surveyors are generally the ones who submit instruments or caveats for registration but members of the public may also do so. Requests for registration currently arrive in person at the LTO, and by mail; LTO also accepts requests for information (but not requests for registration) in person, by phone, and by email. LTO staff members process the paper documents, enter information into the registry system, and then file the registered instruments or caveats in the vault as required by legislation.
Future state
Most interactions require a secure, online solution. LTO staff have eliminated many administrative tasks such as paper handling, filing, and billing, and therefore have time to provide improved customer service to clients who require additional service or have complex questions that are not supported by the online tools. LTO staff have well-defined roles and expectations of service delivery.
The public and customers can access information via secure, online, self-serve tools to complete most tasks. Basic administrative tasks such as status inquiries and document submissions are automated. The LTO communicates changes to procedures broadly and consistently. Customers receive rapid responses to queries from trained staff.
The ongoing Land Titles Modernization project contains plans to formalize the return of paper documents to submitters and recognize the scanned electronic version as the authoritative record.
All LTO registry information is available online and via data interfaces for use by other YG departments.",Justice,,OGL-Yukon-2.0,JUS-PIA-2022-01,2022-05-17,2022-05-24 12:55:43,2022-05-24 12:55:43,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/yukon-land-titles-registry,56515
pia-summaries,Eligibility Process for Seniors Supportive Social Housing,"Yukon Housing Corporation and Health and Social Services (HSS) are working together to implement a new housing service program for 
 seniors who are eligible for social housing and who would benefit from non-professional supportive services to remain living independently
in the community.",Health and Social Services,,OGL-Yukon-2.0,HSS-PIA-2022-01,2022-05-17,2022-07-08 08:06:01,2022-07-08 10:51:24,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/eligibility-process-seniors-supportive-social,56587
pia-summaries,Sport and Recreation eServices Forms,"We are updating the reporting and application forms for both YRAC and Yukon Sport for Life (YS4L) grants to move to an online format. The primary reason we are doing this is to make the application and reporting process easier for our clients – the grant recipients. The secondary reason is to make the process easier for the adjudication committee. The tertiary reason is to make the process more efficient for Sport and Recreation Branch (SARB) employees and to reduce the possibility of error.
Grant recipients, the Yukon Recreation Advisory Committee (YRAC) adjudication committee, SARB staff, and the general public (due to increased efficiency of government staff and reduced errors) will all benefit from this. The updated forms will be ready for use by March 1, 2022.",Community Services,,OGL-Yukon-2.0,CS-PIA-2022-01,2022-03-25,2022-07-12 15:13:06,2022-07-12 15:13:06,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/sport-and-recreation-eservices-forms,56598
pia-summaries,"Homeless Individuals and Families Information System ""HIFIS""","The Homeless Individuals and Families Information System (“HIFIS”) is a case management system designed to better understand the needs, resources, and required supports for the community. HIFIS is provided and developed by the Canadian Federal Government, Employment and Social Development Canada (“ESDC”), for use by governments and non-profits within Canada to aid in their support of the homeless and precariously housed populations.
The Yukon has determined that use of the HIFIS system by the Whitehorse Emergency Shelter (“WES”), would be beneficial to both case workers and individuals. As such, The Government of Yukon has entered into an agreement with ESDC and has been granted a license for use of the HIFIS system. The Agreement can be found at Appendix 6. At this time, HIFIS will be used exclusively by the WES, as managed and run by the Government of Yukon, Department of Health and Social Services (“HSS”).
HSS will host its own instance of the HIFIS system on the YG Servers, located in Whitehorse. Currently, WES uses the HIFIS system exclusively for registration and bed allocation. It is the intention of the WES to gradually increase their use of the other client and information management functionalities of HIFIS for case management and to enhance to provision of care provided to clients.",Health and Social Services,,OGL-Yukon-2.0,HSS-PIA-2022-02,2022-06-07,2022-07-12 15:28:33,2022-07-12 15:28:33,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/homeless-individuals-and-families-information,56599
pia-summaries,Sexualized Assault Response Team (SART),"In 2020, the Yukon Government, in collaboration with several community agencies who provide services to victims of sexualized assault, launched the Sexualized Assault Response Team (“SART”). The Department of Health and Social Services (“HSS”) is one of seven SART agencies committed to providing a coordinated and collaborative response for all individuals victimized by sexualized violence and to 
support them moving forward along whichever path of services they choose. 

While the community agencies are involved in the governance and management of SART through a number of committees including the SART Implementation Committee, the SART Oversight Committee, and the SART Protocol and Training Management Committee, these committees are not involved in the day-to-day operations, data collection, or working with the individual unless that individual has consented to be referred to that agency or they choose to access those agencies on their own. The key agencies that make up SART are: Department of Health and Social Services (“HSS”); Department of Justice; the Women and Gender Equity Directorate; the Women’s Transition Home; RCMP – M Division; Yukon Hospital Corporation; and the Public Prosecution Service of Canada. 

Within HSS, the launch of the Yukon SART in 2020 saw the formation of a specific SART program unit within the broader Community Health Programs branch. This included the establishment of an individual’s forensic record associated with a sexualized assault being kept independent from their personal medical/health record for the protection of the individual’s privacy. The SART Clinical Coordinator role within HSS Community Health Programs includes retaining the individual's forensic record separate from their health record at Whitehorse General Hospital, providing system navigation services to individuals, facilitating collection and disclosure of the individual's forensic record across participating organizations based on the individual's consent (e.g., to the RCMP), and responsible for the overall clinical operations of the SART.",Health and Social Services,,OGL-Yukon-2.0,HSS-PIA-2022-04,2022-05-31,2022-07-15 11:25:37,2022-07-15 11:27:57,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/sexualized-assault-response-team-sart,56616
pia-summaries,Coordinated Access,"In response to the growing need for supports for Clients experiencing homelessness, the Yukon Government (“YG”) Department of Health and Social Services (“HSS”) is participating in the Coordinated Access program (“CA”). CA is a standardized approach to assessing a homeless Client or family’s needs and providing the services and supports they may require to achieve housing stability. The CA program is 
funded in part by the Canadian Federal Government through the Reaching Home program. All organizations, non-profits, governments, and societies that receive funding through the Reaching Home program are required to participate in the CA program and are required to be a member of the Coordinated Housing Access Team (“CHAT”) and participate in the CHAT Table. The CA program streamlines access to housing and supports for homeless Clients and families, through a “no wrong door” model of care. Clients in need of housing can present at any CA Partner Agency and can begin the intake process to receive services or supports. In most cases, the Client will be a client of the CA Partner Agency with whom they completed their consent for the By-Name-List (“BNL”). 

The CA program in Yukon is overseen by Safe at Home (“SAH”), a Society under the Yukon Societies Act. YG HSS does not oversee or manage the CA program but is a participant. SAH manages the BNL, which is a key component of the CA Program. The BNL is a centralized list of Clients in need of housing within the Yukon. Clients who have consented to being placed on the BNL will have their cases discussed at the CHAT Table, with the goal of finding the best housing option for their specific situation. Placement on the BNL is contingent on the Client completing the Vulnerability Index - Service Prioritization Decision Assistance Tool (“VI-SPDAT”). The VI-SPDAT is a triage tool that helps identify who should be recommended for each housing and support intervention, and the urgency of their needs. 

Participating HSS program areas conduct the VI-SPDAT with their clients only and communicates the result (the VI-SPDAT number) to Safe at Home for placement on the BNL. HSS areas can be referral sites, which includes the completion of the VI-SPDAT. HSS does not share the responses provided by the Client or a copy of the VI-SPDAT questionnaire outside of the Department. If the other Partner Agencies want their Client to complete a VI-SPDAT assessment they will forward the request to Safe At Home to complete with the Client. 

Currently, there is no electronic information system related to the CA Program, however, SAH is planning to utilize the Homeless Individuals and Families Information System (HIFIS). HIFIS is a federally provided client information management system. It should be noted that though the program is funded by the federal government, and they have provided guidance and obligations to the receiving organization, there is no transfer of personally identifiable data to the federal government for the purposes of the Coordinated Access program. SAH will have to meet the management information system’s stringent privacy and security protections. Data sharing is contingent upon written client consent, and must comply with local, provincial, and federal legal requirements.",Health and Social Services,,OGL-Yukon-2.0,HSS-PIA-2022-03,2022-05-31,2022-07-15 11:27:21,2022-07-15 11:27:21,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/coordinated-access,56617
pia-summaries,Online Daily Campground Permit,"The Government of Yukon released the Yukon Parks Strategy in 2020. YG is committed to developing a new payment option to allow people to pre-pay for camping online. We are calling this new product the Online Daily Campground Permit.

The Online Daily Campground Permit will be developed and hosted on the POSSE platform, which YG currently uses to sell hunting and fishing licenses, and the Yukon resident annual campground permits. The Online Daily Campground Permit will be a new saleable item on the Posse platform. The user interface is the Environment Yukon eServices account.",Environment,,OGL-Yukon-2.0,ENV-PIA-2022-01,2022-01-17,2022-07-21 11:58:02,2022-07-21 11:58:02,https://open.yukon.ca/access-information/privacy-impact-assessment-summary/online-daily-campground-permit,56623
