schema_type,name,description,format,created,last_modified,size,url,url_type,dkan_parent_dataset_node_id,dkan_parent_dataset_title,dkan_resource_node_id,dkan_uri
data,Registered Designated Historic Sites,Municipal and territorial designated historic sites under the Historic Resources Ac,CSV,2017-09-19 01:10:02,2021-04-01 00:41:06,7218,https://open.yukon.ca/sites/default/files/YHS-Site-Export-Designated Historic Sites.csv,upload,4017,Designated Historic Sites Yukon,4018,https://open.yukon.ca/data/datasets/designated-historic-sites-yukon/resource/3f6b1ee3-6727-4966-8599-72644d891a9d
data,File share,Direct access to photo images organized into directories.,HTML,2017-09-20 12:34:16,2021-04-01 00:41:06,,http://yap.gov.yk.ca/fileshare/,,4188,Yukon aerial photographs locator,4189,https://open.yukon.ca/data/datasets/yukon-air-photo-locator/resource/c3c70e66-4100-4d14-9bb7-076938a60504
data,GeoYukon air photo locator,Online map application to view air photo locations.,HTML,2017-09-20 12:35:18,2023-08-23 13:58:20,,https://mapservices.gov.yk.ca/GeoYukon/Index.html?layerTheme=Air%20Photo%20Library,,4188,Yukon aerial photographs locator,4190,https://open.yukon.ca/data/datasets/yukon-air-photo-locator/resource/c97ae933-9299-4014-80ef-d0a8ec9e9e3a
data,Snow samples Yukon Territory,Full record of snow survey data for all sampling locations and sampling periods.,CSV,2018-04-10 09:35:24,2024-05-29 13:08:02,442129,https://open.yukon.ca/sites/default/files/Snow_Samples_YT_20240514.csv,upload,13419,Yukon Snow Survey Network,13420,https://open.yukon.ca/data/datasets/yukon-snow-survey-network/resource/ddc09d23-02f5-48b4-9635-338b89ea7a02
data,Snow site descriptions Yukon Territory,Names and locations of all snow survey courses in the network.,CSV,2018-04-10 09:36:25,2023-01-05 10:51:11,5430,https://open.yukon.ca/sites/default/files/Snow_Sites_YT_20230105.csv,upload,13419,Yukon Snow Survey Network,13421,https://open.yukon.ca/data/datasets/yukon-snow-survey-network/resource/996fe173-a920-4693-8d43-f2bad9c2f998
data,Snow samples  Yukon Territory fields,A description of the fields associated with snow survey data.,CSV,2018-04-10 09:37:29,2022-01-04 13:10:31,990,https://open.yukon.ca/sites/default/files/snow-samples-YT-fields_20211111.csv,upload,13419,Yukon Snow Survey Network,13422,https://open.yukon.ca/data/datasets/yukon-snow-survey-network/resource/b6379254-3236-449d-9340-6b0f329f2f71
data,"Housing Tenure, Condition, Period of Construction and Structural Type (Census 2006)",,CSV,2018-09-19 09:35:29,2021-04-01 00:42:03,6065,https://open.yukon.ca/sites/default/files/CENSUS_2006_DWELLINGS_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22269,https://open.yukon.ca/data/datasets/housing-tenure-condition-period-construction-and-structural-type-census-2006/resource
data,Place of Employment (Census 2006),,CSV,2018-09-19 09:35:29,2021-04-01 00:42:03,7360,https://open.yukon.ca/sites/default/files/CENSUS_2006_PLACE_OF_WORK_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22271,https://open.yukon.ca/data/datasets/place-employment-census-2006/resource/8f5c3aac-902e-496d-b003-85b8ff907609
data,Visible Minority Group (Census 2006),,CSV,2018-09-19 09:35:29,2021-04-01 00:42:03,3846,https://open.yukon.ca/sites/default/files/CENSUS_2006_MINORITY_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22273,https://open.yukon.ca/data/datasets/visible-minority-group-census-2006/resource/8b155428-4ad6-4228-baa8-11846f1f04f8
data,Language Used at Work (Census 2006),,CSV,2018-09-19 09:35:29,2021-04-01 00:51:20,4393,https://open.yukon.ca/sites/default/files/CENSUS_2006_WORK_LANGUAGE_0.CSV,upload,61170,Census 2006 (Semi-custom Profile of Yukon CSD Aggregations),22275,https://open.yukon.ca/data/datasets/language-used-work-census-2006/resource/bbeec721-597d-41da-9097-292c6d6e0c07
